9.673	-1.071	0.285	0.311		11.900	24.300	1.409	71527.163	11.178				1.933	n
9.588	-1.108	0.491	0.194	-0.028	2.700	22.800	0.398	71870.248	11.183				-4.767	0.479657767
9.673	-0.892	0.385	0.307	-0.310	0.600	23.400	-0.408	72400.798	11.190				-9.333	0.738205509
9.832	-1.045	0.286	0.324	0.654	-4.633	22.900	-0.715	72666.355	11.194				-11.533	0.366787039
9.866	-1.757	0.401	0.685	-0.497	-10.000	10.100	0.686	72520.090	11.192	14.474	0.900		-13.533	-0.201282792
9.661	-1.525	0.340	0.645	0.932	-7.167	11.000	-0.544	73072.889	11.199	15.525	-0.490	7.261	-11.967	0.762269913
9.412	-1.551	0.236	-0.216	-0.032	-8.433	7.500	0.032	73438.755	11.204	16.122	-0.976	3.846	-8.300	0.500686268
9.222	-1.296	0.537	1.022	-0.049	-1.967	15.300	-0.589	74017.699	11.212	18.353	0.347	13.834	-5.333	0.788336061
9.134	-0.871	0.108	0.359	0.663	-4.000	17.400	1.147	74709.604	11.221	17.956	-1.681	-2.160	-3.433	0.934783509
9.155	0.056	0.082	0.125	-0.623	5.033	11.900	0.664	75818.633	11.236	15.788	0.913	-12.077	-1.600	1.484452958
9.280	0.367	0.057	0.266	-0.469	4.200	6.600	1.108	76478.003	11.245	16.942	1.838	7.312	2.133	0.869666637
9.324	0.371	0.232	0.366	-0.241	7.667	3.900	-0.667	76915.812	11.250	16.661	2.186	-1.662	4.967	0.572464911
9.426	0.054	0.506	0.040	1.051	8.467	0.800	-0.502	77120.339	11.253	12.953	2.346	-22.255	3.100	0.26590918
9.429	-0.204	0.157	0.498	0.081	6.233	11.600	-0.949	77376.722	11.256	12.069	1.563	-6.826	2.433	0.332445464
9.379	-0.491	0.559	0.114	1.014	4.000	8.900	-0.902	77619.748	11.260	11.118	-0.127	-7.873	-1.000	0.314082684
9.139	-0.854	0.032	-0.030	0.361	-5.800	3.500	-1.313	77812.205	11.262	9.425	-1.274	-15.226	-7.033	0.2479475
8.972	-0.473	0.574	0.550	0.372	-5.300	4.100	0.467	78636.331	11.273	9.888	-1.095	4.903	-5.900	1.059121888
8.899	0.249	-0.033	0.161	0.079	-4.800	9.500	0.652	79695.183	11.286	14.501	-1.524	46.663	-1.200	1.34651787
8.126	1.078	0.409	0.288	0.073	0.967	17.900	1.971	80843.050	11.300	19.388	-0.738	33.700	1.167	1.440321293
7.682	1.660	0.176	0.637	0.099	7.033	6.500	2.234	81796.510	11.312	23.170	0.430	19.503	6.100	1.179396995
7.108	1.804	0.083	0.589	0.105	11.367	18.700	1.750	82407.648	11.319	27.141	1.261	17.140	7.900	0.747144441
6.817	1.881	0.671	1.005	-0.460	13.400	13.200	2.390	82950.036	11.326	28.440	2.210	4.785	8.100	0.658176822
6.877	1.706	0.137	0.807	0.625	15.867	17.000	1.780	83279.659	11.330	33.516	1.917	17.849	6.167	0.397375512
6.649	2.037	0.499	0.957	0.752	15.900	17.400	0.752	84018.389	11.339	34.063	1.149	1.631	4.933	0.887046407
6.096	1.464	0.306	-0.288	1.087	16.833	18.700	-0.483	83968.813	11.338	27.964	-0.576	-17.905	1.433	-0.059005693
6.514	0.846	0.827	1.479	1.308	7.133	32.100	1.071	83919.656	11.338	31.220	-1.281	11.644	-5.600	-0.058542406
6.324	0.079	0.581	0.241	2.027	6.567	36.200	-1.187	83748.140	11.336	28.362	-2.905	-9.154	-9.400	-0.20438127
7.374	-0.542	0.890	0.426	1.086	-1.167	45.600	-1.526	83698.841	11.335	21.588	-3.542	-23.885	-14.233	-0.058865389
7.349	-0.284	0.604	0.415	0.085	-3.300	22.100	-0.433	84478.433	11.344	24.131	-1.996	11.782	-9.833	0.931425269
7.272	0.055	0.163	0.171	0.001	6.333	9.200	0.643	85220.217	11.353	27.285	-1.970	13.070	-5.900	0.878074316
7.491	0.080	0.425	0.177	-0.662	3.867	0.900	-0.782	85669.622	11.358	27.358	0.854	0.267	-7.767	0.527345919
7.977	-0.080	0.182	0.406	-0.003	1.300	0.600	0.170	85935.562	11.361	26.874	2.110	-1.769	-9.433	0.310425245
8.125	-0.853	0.389	0.812	0.515	2.167	5.900	0.184	85597.110	11.357	29.285	1.711	8.972	-12.367	-0.393843724
8.080	-1.177	0.581	-0.115	0.932	-4.367	7.900	-1.623	85682.657	11.358	22.974	1.265	-21.551	-15.600	0.099941563
8.122	-1.212	0.291	0.474	0.542	-5.867	0.000	0.204	86013.111	11.362	25.288	0.076	10.075	-12.467	0.385671612
8.383	-0.884	0.431	0.458	-0.185	1.133	1.300	0.326	86653.501	11.370	24.738	0.357	-2.176	-6.267	0.744526447
8.550	0.418	0.247	0.361	-0.874	4.633	11.400	0.566	88004.295	11.385	25.566	1.950	3.345	-3.767	1.558845205
7.744	0.940	0.282	0.686	-0.763	4.133	8.000	2.383	88867.459	11.395	29.462	3.033	15.240	-0.667	0.980820232
8.895	1.303	0.270	0.435	-0.047	6.533	17.400	1.331	89643.858	11.404	34.037	3.814	15.530	0.733	0.873659225
8.348	1.053	0.255	0.797	1.156	12.400	18.600	-0.003	89930.131	11.407	34.027	2.403	-0.029	-0.967	0.31934485
8.455	0.617	0.390	0.464	-0.466	8.067	13.000	0.831	90286.001	11.411	36.330	1.770	6.768	-3.800	0.395717902
8.473	0.529	0.206	0.716	0.682	4.667	19.900	0.707	90736.578	11.416	40.983	0.797	12.807	-7.233	0.499055256
8.499	0.361	0.317	0.822	0.965	2.033	16.900	1.929	91087.986	11.420	50.454	-0.191	23.109	-6.167	0.387283891
8.442	0.635	0.631	0.464	0.021	4.267	17.900	3.147	91816.680	11.428	47.908	1.414	-5.046	-0.867	0.799988929
8.553	0.833	0.260	0.585	0.775	5.133	15.300	0.765	92393.698	11.434	51.496	0.157	7.489	2.167	0.628445617
8.669	0.669	0.455	0.663	0.976	7.667	17.500	-1.189	92695.744	11.437	55.498	-0.414	7.772	5.600	0.326912021
7.902	1.026	0.393	0.484	-0.159	9.767	19.600	0.256	93476.876	11.445	55.005	0.717	-0.887	6.433	0.84268455
7.913	1.626	0.194	0.203	0.289	11.567	15.300	-0.540	94484.444	11.456	46.344	0.054	-15.746	6.300	1.077879424
7.830	2.462	0.457	0.411	0.269	14.633	20.500	-0.268	95699.671	11.469	44.306	1.068	-4.398	5.333	1.286165497
7.993	2.374	0.421	0.326	1.491	9.100	24.000	1.834	96075.901	11.473	50.984	0.486	15.072	6.533	0.393136801
7.067	2.670	0.286	0.376	-0.531	11.233	25.500	1.993	96818.042	11.481	54.623	0.221	7.139	5.467	0.772452315
7.066	2.691	0.211	1.613	0.793	10.633	33.500	1.837	97306.664	11.486	61.443	-0.535	12.484	2.400	0.504680873
6.914	2.639	0.578	1.452	1.464	13.367	29.800	2.455	97869.146	11.491	64.552	-1.796	5.060	1.700	0.578050599
6.626	2.361	0.377	1.443	0.967	11.800	16.600	1.912	98025.350	11.493	78.399	-0.866	21.452	-0.733	0.159604793
7.491	1.462	0.768	0.994	2.045	19.233	22.800	1.804	97532.100	11.488	76.812	-2.948	-2.025	-5.100	-0.503185507
6.833	-0.984	0.659	-0.357	2.868	6.367	6.400	-4.429	95489.925	11.467	42.404	-5.569	-44.795	-20.733	-2.093849308
7.768	-2.240	0.366	-0.573	0.382	-3.533	-11.200	-5.280	94392.167	11.455	34.524	-5.129	-18.582	-30.300	-1.149606236
7.838	-2.621	0.662	-0.243	-0.178	-7.267	-11.100	-1.824	94288.967	11.454	43.373	-4.520	25.630	-27.000	-0.10933084
7.972	-1.822	0.351	0.071	-0.703	-9.000	-11.500	0.375	95338.652	11.465	47.801	-1.654	10.208	-19.400	1.113263993
8.087	-1.287	0.276	0.535	-0.292	-6.067	-1.700	0.397	96143.844	11.474	50.724	1.265	6.115	-10.533	0.844559578
8.567	-1.155	-0.038	0.753	-0.677	-8.033	5.400	2.751	96600.951	11.478	55.429	2.695	9.276	-5.967	0.475440714
8.417	-0.457	0.533	1.058	0.293	6.700	10.200	3.131	97576.043	11.488	61.910	3.479	11.693	-5.033	1.009402367
8.379	-0.313	0.189	0.262	0.215	8.467	8.600	1.630	98007.288	11.493	59.181	2.379	-4.408	-4.900	0.441957763
7.878	-0.191	0.567	1.027	1.033	14.433	19.300	0.781	98411.752	11.497	63.901	1.780	7.975	0.467	0.412687739
7.083	0.167	0.334	1.002	0.850	17.567	31.100	1.603	99062.700	11.504	76.680	0.380	19.998	5.033	0.661453318
6.915	0.181	0.243	0.830	0.135	22.567	31.300	1.219	99349.115	11.506	81.388	-0.350	6.140	0.533	0.289125073
7.516	0.143	0.520	0.676	1.349	10.467	31.800	0.379	99570.800	11.509	79.616	-1.781	-2.177	-6.567	0.223137023
7.062	-0.041	0.368	0.725	0.507	2.833	26.700	0.929	99637.691	11.509	81.084	-1.139	1.845	-10.333	0.067179305
